DOC_ID	LABEL	RATING	VERIFIED_PURCHASE	PRODUCT_CATEGORY	PRODUCT_ID	PRODUCT_TITLE	REVIEW_TITLE	REVIEW_TEXT
20982	__label2__	5	Y	Shoes	B00APWMC90	Vasque Women's Skadia Ultradry Snow Boot,Jet Black/White,10 M US	Great boot	Got these just in time to hike on snow-covered gravel road. They were warm and had great traction. Best of all, they are quick and easy to lace up- just wind them around the hooks and off you go. I sometimes wear a 9 1/2, but mainly a 10. I got the 10 and they fit great. There was no break-in needed- my feet felt fine after their first workout.
9680	__label1__	5	Y	Jewelry	B00R47VS94	Moonar® 7pcs Gold Skull Bowknot Heart Design Midi Mid Finger Rings Set	Pretty, Affordable Rings...!	I really love putting some accessories in my fingers. This rings are the most pretty and affordable I've ever tried.
4740	__label1__	5	Y	PC	B008THTWIW	iPad Mini Screen Protector, Tech Armor Anti-Glare/Anti-Fingerprint Apple iPad Mini 1 / 2 / 3 Screen Protectors [3-Pack]	Very easy to use and the best pricing online!	I highly recommend the new Tech Armor Anti-Fingerprint Screen Protector for my Ipad Mini tablet.  It is very easy to use and it works great.  Tech Armor has a lifetime replacement warranty and they have the best pricing online.  I would definitely recommend it!
8597	__label1__	5	N	Tools	B002JM15Z6	Chef Works CSBA-BCS Chalk Stripe Bib Apron with Pockets, 34-1/4-Inch Length by 27-Inch Width, Black/White	Simple but high quality	I really like this apron it has a very simple design. I love cooking and this one is my best friend. With this I could do my chores without getting dirty.
11535	__label2__	5	N	Outdoors	B00RJM2HTE	Mountain House Chicken Fried Rice	Good Stuff!	This Mountain House &#34;Savor the Adventure&#34; freeze dried food bags are freeze dried meals where you simply add boiling water, let sit for a few minutes, and eat. They are convenient for hiking, travelling, emergencies (like power outages, natural disasters, etc). Because they are freeze dried and vacuum sealed, they have a very long shelf life (years). Make sure you remove the oxygen absorption pouch before adding water (it won't hurt if you forget and do it after, it's just more of a pain to find it).<br /><br />This pouch supposedly has 2.5 servings. You could probably get by feeding two people with this, I wouldn't go beyond that, especially if you are active (out hiking, etc). You get a decent chunk of protein (11 Grams per serving) and unlike the pro packs, the cholesterol is more manageable (100 mg).<br /><br />The food itself is actually pretty good, especially for what it is. It's not like a gourmet restaurant or anything but it tastes pretty good. If you keep these around for emergencies, it's definitely nice to have something that tastes good.
19511	__label2__	4	Y	Video Games	B005HN5LKY	Gen AC Adapter Power Supply Cord for Xbox 360 Slim	MY NEW POWER PAC	Works like a charm...it was packaged nicely and looked just like it appeared on the marketing page.  I like the price as well.
11498	__label2__	4	Y	Watches	B0058ZIOYG	Fossil Men's CH2782 Flight Brown Dial Watch	Somewhat Satisfied	"It's a Fossil. Pretty hard to go wrong - but, the watch arrived running. Doesn't that make it ""used?"" Everything inside the face is brown, so it's kind of hard to read, especially at night. That's my only real complaint.  It would be nice if it had luminous hands, or a back light (like Timex's ""indiglo"") to compensate for the lack of  clarity.  The watch band is stiff - will take some breaking in, like new shoes. I had a cuff watch band that works beautifully with this watch, making it a striking looking watch. But, again, it would be nice to have greater clarity in the watch face.  I have several Fossil's and they are well made. The vendor did finally get back to me regarding shipping. So, overall - I will give it a 4, but not a 5."
9852	__label1__	3	N	Shoes	B001GLGW0O	FASH Giraffe Print Faux Leather Tote Shoulder Handbag,Red,One Size	looks well made	I was initially quite pleased with bag. Stitching is neat, and the bag looks well made. . Packing had created a dent in the bag that is still there; I am hopeful it will eventually diminish as I use the purse. The major issue is the shoulder strap, its small.
12717	__label2__	5	Y	Home Improvement	B000Q5VMKG	First Alert CO615 Dual Power Carbon Monoxide Plug-In Alarm with Battery Backup and Digital Display	Don't be without one	Simple to install, just plug it in.  The batteries go under the LED in front of the unit.  You open the battery compartment by pulling the cover out and down, from the top front. I recommend this product.  Carbon Monoxide can kill you, you won't see it coming, hear or smell it.
4602	__label1__	5	N	Books	1610725557	PLACE Science (05) Exam Flashcard Study System: PLACE Test Practice Questions & Exam Review for the Program for Licensing Assessments for Colorado Educators (Cards)	Flash cards that give you everything you need	IF you want to have the details you need to study in one location, ready for you to study them whenever you have time, you should get these flash cards. You don't have to do any of the prep work because the flash cards have everything you need to know on one of them.  They're great because they're nice and small so you can take them with you and study them anywhere you go.  It's nice to have a card or two in your back pocket so you can pull it out wherever you are and get a little extra work in.
1456	__label1__	3	N	Video DVD	B0084IG7KC	The Hunger Games (Blu-ray + Digital Copy)	A bit too commercial for my own tastes	The book was fantastic. But I would rate the movie with just an 'okay'. Let me tell you why. It fails in delivering the emotions that you could feel when reading the book. The characters in this movie are crafted after the nowadays heroes theme. And that's too commercial for my tastes. Indeed, the film delivers excelent entertainment and the effects are very realistic. It's a good movie, but the book is better.
7283	__label1__	5	Y	Office Products	B00V3146BO	"Abdtech 130"" Mini LED Projector 800 Lumens Multimedia Beamer Portable Home Theatre Projectors"	Sparkling picture with mini projector!!	That's projector I look for, which is extremely suitable to office activities. This projector is easy to use, small and can be put to any places I want. With this one, I feel very confident when present a new ideal without getting technical problems. The picture is much better than others, crystal and doesn't make color errors. Great product and reasonable price!!<br />I will buy it again on demand and also highly recommend to others.
6901	__label1__	5	N	Lawn and Garden	B004FOEUI0	Instapark® NEW All Black 5W Mono-crystalline Solar Panel with 12V Solar Charge Controller	Solarpanel	easy to use, and great value, good features,easy to mount on my roof and connect to my kitchen appliance. Thanks Instapark technology!
